,created_at_hour,id,full_text,compound,sentiment
0,2021-09-12 02:00:00+00:00,1436871254309486592,RT @RedHourBen: Watching  @DjokerNole  playing at such a ridiculous level. Excited for Sunday and what he’s about to do. #USOpenFinal,0.1779,Positive
1,2021-09-12 02:00:00+00:00,1436872100468297729,"@DaniilMedwed vs @DjokerNole mens singles final at the #USOpenFinal

#Lacoste will be the true champion in the men's singles final as both players are sponsored by one brand",0.7717,Positive
2,2021-09-12 03:00:00+00:00,1436884749180624897,RT @RedHourBen: Watching  @DjokerNole  playing at such a ridiculous level. Excited for Sunday and what he’s about to do. #USOpenFinal,0.1779,Positive
3,2021-09-12 03:00:00+00:00,1436886087754924032,"While the world is still waiting for @DjokerNole to stun the world tonight, teenager @EmmaRaducanu takes the tennis by storm. Wins unbelievable #USOpenFinal in a gutsy performance. https://t.co/jPsFRoYeV1",0.6705,Positive
4,2021-09-12 04:00:00+00:00,1436895077373149184,"#Dobrojutro pobednički svete u #prvasmena Dan boje teniske loptice https://t.co/S4CXDdxtwW neka bude pobednički, sportski, veličanstven i istorijski #Daniukoloru 
Srećno @DjokerNole 
#usopen #USOpenFinal",0.0,Neutral
5,2021-09-12 04:00:00+00:00,1436904745990451204,"@DylanAlcott @SBSOnDemand We'll also have a full replay &amp; mini match of Dylan's WC Quad Singles final tomorrow morning via @SBSOnDemand, with a replay on @SBS from 12:30pm (AEST) after #USOpenFinal @DjokerNole v @DaniilMedwed as the Serb goes for 21 major titles &amp; a 52-year calendar grand slam first! 🙌🎾",0.1759,Positive
6,2021-09-12 05:00:00+00:00,1436911410945081345,RT @Doug_Bandow: Interested in #USOpenFinal tomorrow? Listen to @Gill_Gross discuss matchup between @DjokerNole and @DaniilMedwed. IMHO Gro…,0.4019,Positive
7,2021-09-12 06:00:00+00:00,1436936193825021955,"If @DjokerNole wins US Open final, he will be the most decorated male tennis player in the world.

He will be the first male tennis player to win all 4 major gram slams in one calendar.

Leave this young man alone🙌
#Djokovic #USOpen #USOpen2021 #USOpenFinal https://t.co/JYsKU2TOhH",0.8074,Positive
8,2021-09-12 08:00:00+00:00,1436955426185166848,"Sorry chaps, but the #USOpenFinal was over last night! Just in case you missed it, it was superb!

#allthebestanyway 🤷🏾‍♂️
#EmmaRadacanu
#LeylahFernandez
#USOpen2021

@EmmaRaducanu 🏆🏆
@DjokerNole

@ESPNSportsCentr

https://t.co/9srcW4S4Di",0.6467,Positive
9,2021-09-12 08:00:00+00:00,1436965096681394181,"@r8a8m8 @DjokerNole And I am sure that Joker will have the last laugh .
@DjokerNole 
He will compete the career grandslam 
#USOpenFinal",0.7506,Positive
10,2021-09-12 08:00:00+00:00,1436968633234694150,"King @DjokerNole has a chance to make history: complete the calendar-year Grand Slam &amp; break a tie with @rogerfederer and @RafaelNadal ,who also have 20 major titles,for the most in men's tennis history. Will he beat @DaniilMedwed ? #USOpen #USOpen2021 #tennis #USOpenFinal",0.34,Positive
11,2021-09-12 08:00:00+00:00,1436970122858610690,"@BBCSport Can we hope for another upset....

#USOpen #USOpenFinal #USOpen2021 #bbctennis @usopen @C4Sport @primevideosport @PrimeVideo @DjokerNole @SkySportsNews",0.4404,Positive
12,2021-09-12 11:00:00+00:00,1437007241262080010,"Análisis de la final masculina #usopen a falta de 9h para que comience. Nueve horas para la historia.
🇷🇺 @DaniilMedwed vs @DjokerNole 🇷🇸 
#USOpenFinal #Djokovic #Medvedev 

 https://t.co/2PZg1mvkJA",0.0,Neutral
13,2021-09-12 11:00:00+00:00,1437011498782523393,https://t.co/wtoZw0WtmQ - my🎾#Blog on @Sportcoio all set for a historic match as @DjokerNole takes on @DaniilMedwed in the #Finals of the @usopen #USOpen #USOpen2021 #USOpenFinal #NewYork #Serbia #Russia #Djokovic #Medvedev #NextGen #GOAT do read🙂,0.0,Neutral
14,2021-09-12 11:00:00+00:00,1437014086504497155,RT @RedHourBen: Watching  @DjokerNole  playing at such a ridiculous level. Excited for Sunday and what he’s about to do. #USOpenFinal,0.1779,Positive
15,2021-09-12 11:00:00+00:00,1437015001168969729,Ok Sleeping for now.....have to wake up at 1am for Blockbuster #USOpenFinal ......though @DjokerNole  is the obvious winner!....,0.75,Positive
16,2021-09-12 13:00:00+00:00,1437031262980657155,"Looking forward to all the coverage of the men’s #USOpenFinal being 50% about the tennis and 50% about “their smiles”….oh, no, wait…we just talk about the tennis with the guys, right? A shame, @DjokerNole has lovely teeth. https://t.co/g3FnejtLeC",-0.128,Negative
17,2021-09-12 13:00:00+00:00,1437031921632964612,"IST Prakaram 1.30 AM ki anta 
Morning/Night pettachu kadra 
#USOpenFinal 
21st Kottali Bigluuuuuuu @DjokerNole",0.0,Neutral
18,2021-09-12 13:00:00+00:00,1437042743717552130,"@USOpen 2021, la finalissima #DjokovicMedvedev, il serbo a caccia del #GrandSlam, per un posto nell'Olimpo del tennis, il russo cerca di rovinargli la festa (ore 22 italiane) https://t.co/Ym8bd0P1qT @wordpressdotcom @mottolese #tennis @DjokerNole #USOpen2021 #USOpenFinal #usopen",0.0,Neutral
19,2021-09-12 14:00:00+00:00,1437046973866074114,"Dear @DjokerNole please win today.
#NoleFam 
#USOpenFinal 
#USOpen",0.8271,Positive
20,2021-09-12 14:00:00+00:00,1437047034436112394,"RT @The_Ghosted: Dear @DjokerNole please win today.
#NoleFam 
#USOpenFinal 
#USOpen",0.8271,Positive
21,2021-09-12 14:00:00+00:00,1437047204557037568,Anyone know what time the @DjokerNole final is at? Can’t seem to find it #USOpenFinal 😨,0.0,Neutral
22,2021-09-12 14:00:00+00:00,1437047300543635456,"Biggest sports story of day, with apologies to #NFL Is @DjokerNole going for #GrandSlam at 4pm #USOpenFinal 🎾",0.0,Neutral
23,2021-09-12 14:00:00+00:00,1437051537054961666,RT @RedHourBen: Watching  @DjokerNole  playing at such a ridiculous level. Excited for Sunday and what he’s about to do. #USOpenFinal,0.1779,Positive
24,2021-09-12 14:00:00+00:00,1437058181516173312,"4min Mile , 2021version for Tennis was just proven by @EmmaRaducanu &amp;history hopefully by @DjokerNole #tennis #USOpen2021 #USOpenFinal #wta #ATP",0.4019,Positive
25,2021-09-12 14:00:00+00:00,1437060400638566413,"Hope @DjokerNole gets the win over @DaniilMedwed tonight. It will take him one step ahead of @rogerfederer and @RafaelNadal 🎾
#NoleFam #USOpenFinal",0.7717,Positive
26,2021-09-12 15:00:00+00:00,1437062545601335302,"Hoy es la gran final del @usopen, donde @DjokerNole se enfrentará a @DaniilMedwed. ¿Quien ganará? 🎾🏆

#USOpenFinal #novakdjokovic #daniilmedvedev",0.0,Neutral
27,2021-09-12 15:00:00+00:00,1437064708763226120,"Imagine a Sunday with the final between @RafaelNadal &amp; @DjokerNole.
That loss of sleep would have not hurt But,imagine losing sleep with the prospect of seeing @DjokerNole win his 21st,and losing peace
Jokes apart hope it will be a gr8 match
#USOpenFinal 
@nadalismmex 
@susanh45",0.968,Positive
